Machine_Type,Company Code,Name of recipient,Equipment,Description of technical object,Status,Specification,Chassis number,Engine serial number,Engine Model,Engine power,Engine capacity,License plate number,Tax,Insurance,Duties,Note,Class,Asset,Manufacturer of asset,Keyword,Registered
Support,1000,รถไฟ4-7สระบุรี_2000,ABK-001,หัวสกัด+สายลม 3/4 19mm.50M 20 KG.,ใช้งาน,สำหรับรถไฟความเร็วสูง4-7,1235320,,,0,0,,,,0,,ABK,123000000000,,หัวสกัดสายลม,
Heavy,2000,ทล.3901ตอน2.2_2000,AD-011,รถราดยาง 6 ล้อ NISSAN/HANTA,Stand by/รอใช้งาน,เสริม ชุด1+2 สำรอง,CLG87F-00816,FE6-047772B,NISSAN-FE6,180,0,91-7918 กทม.,,31/12/2569,"3,400.00",GPS:MAPPOINT,AD,231000000000,บจก.ประวีกิจ มหานคร,รถลาดยาง,16/2/2539
Heavy,3000,บ.ควนปริง_3000,AD-016,รถราดยาง 6 ล้อ NISSAN/HANTA,Stand by/รอใช้งาน,ชุด1 แช่ม,CLG87F-00927,FE6-048341B,NISSAN-FE6,180,0,92-4024 กทม.,,30/6/2569,"3,400.00",,AD,331000000000,บจก.ประวีกิจ มหานคร,รถลาดยาง,19/9/2539
Heavy,1000,ทล.3901 คลองพระยาสุเรนทร์-ประเวศ,AD-018,รถราดยาง 6 ล้อ NISSAN/HANTA,Stand by/รอใช้งาน,ชุด2 พาณิชย์,CLG87F-00960,FE6-048488B,NISSAN-FE6,180,0,92-4025 กทม.,,3/6/2569,"3,600.00",,AD,131000000000,บจก.ประวีกิจ มหานคร,รถลาดยาง,19/9/2539
Heavy,3000,ศูนย์ซ่อมสระบุรี_3000,APE-012,รถปูยาง ล้อแทร็ค VOGGLE 1500,เสีย/รอซ่อม,รอเช็ค จอดไว้นาน,670135,8390314,8390314,0,0,4ต-9241 กทม.,,16/8/2569,"6,075.00",,APE,321000000000,บจก.หลุยส์ ที เลียว,เครื่องปูยาง,16/8/2539
Heavy,2000,บ.ควนปริง_2000,APE-019,"รถปูยาง ล้อแทร็ค VOGELE, S1800-3",Stand by/รอใช้งาน,ชุด1 แช่ม,14821304,22209202,CUMMINS.QSB6.7-C170,170,0,1ตช 7262 กทม.,,20/3/2569,"6,075.00",,APE,221000000000,WIRTGEN GROUP,เครื่องปูยาง,20/3/2561
Heavy,1000,ทล.3901 คลองพระยาสุเรนทร์-ประเวศ,APE-020,รถปูยาง ล้อแทร็ค Dynapac SD2500CS,Stand by/รอใช้งาน,ชุด2 พาณิชย์/สำรอง,10002030CJG002421,22275932,SD2500CS,193,0,1ตญ-4781 กทม.,,3/7/2569,"6,075.00",,APE,121000000000,PINSIAM,เครื่องปูยาง,3/7/2562
Heavy,1000,ทล.3901ตอน2.2_1000,APE-021,รถปูยาง ล้อแทร็ค Dynapac SD2500CS,เสีย/ซ่อม,ชุด2 พาณิชย์/DYNAPACยกคัน,10002030ALC100006,22407661,SD2500CS-CUMMIN,200,0,1ตฐ-8458 กทม.,,8/2/2569,"6,075.00",,APE,121000000000,PINSIAM,เครื่องปูยาง,8/2/2564
Plant,1000,แพล้นท์ยางตรัง_1000,APT-005,แพล้นท์ผสมยางมะตอย NIGATA NP-1500,Stand by/รอใช้งาน,,,,,0,0,,6/3/2566,,0,,APT,121000000000,NIGATA,เครื่องผสมแอสฟัลท์,24/1/2537
Plant,3000,แพล้นท์ยางสระบุรี,APT-006,แพล้นท์ผสมยางมะตอย PARKER M-2000,Stand by/รอใช้งาน,,,,,0,0,,6/3/2566,,0,,APT,321000000000,PARKER,เครื่องผสมแอสฟัลท์,2/4/2540
